group,gene,mean
A.2w,gene_A,0.000196
A.4w,gene_A,0.000117
B.2w,gene_A,0.000192
B.4w,gene_A,0.000162
C.2w,gene_A,0.000182
C.4w,gene_A,0.000115
H,gene_A,0.0000938
A.2w,gene_B,0.000234
A.4w,gene_B,0.000301
B.2w,gene_B,0.000245
B.4w,gene_B,0.000329
C.2w,gene_B,0.000279
C.4w,gene_B,0.00028
H,gene_B,0.00026
A.2w,gene_C,0.000477
A.4w,gene_C,0.0005
B.2w,gene_C,0.00047
B.4w,gene_C,0.000426
C.2w,gene_C,0.000399
C.4w,gene_C,0.000466
H,gene_C,0.00048
A.2w,gene_D,0.0002
A.4w,gene_D,0.000193
B.2w,gene_D,0.000193
B.4w,gene_D,0.000173
C.2w,gene_D,0.000171
C.4w,gene_D,0.000177
H,gene_D,0.000182
A.2w,gene_E,0.000406
A.4w,gene_E,0.000338
B.2w,gene_E,0.000392
B.4w,gene_E,0.000272
C.2w,gene_E,0.000337
C.4w,gene_E,0.00036
H,gene_E,0.00039
